brand_name,generic_name,manufacturer,total_spending_2023,total_units_2023,total_claims_2023,total_beneficiaries_2023,avg_price_per_unit_2023,country,source
Udenyca Autoinjector,PEGfilgrastim-Cbqv,Overall,1007143.95,139.0,209,99.0,7245.6399281,US,Medicare Part D
Uloric,Febuxostat,Overall,6049572.5,539278.0,10096,2226.0,11.217770973,US,Medicare Part D
Ulticare,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,92687.81,246839.0,1925,913.0,0.3736793006,US,Medicare Part D
Ulticare,"Syringe And Needle,Insulin,1ml",Overall,221279.8,606940.0,5082,2077.0,0.3628128001,US,Medicare Part D
Ulticare,"Syringe-Needle,Insulin,0.5 Ml",Overall,196308.58,527002.0,3908,1674.0,0.3702922909,US,Medicare Part D
Ulticare Insulin Syringe,"Syrge-Ndl,Ins 0.3 Ml Half Mark",Overall,22959.1,72140.0,534,288.0,0.3182575548,US,Medicare Part D
Ulticare Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,47040.33,150010.0,1173,599.0,0.3135812946,US,Medicare Part D
Ulticare Insulin Syringe,"Syringe And Needle,Insulin,1ml",Overall,99833.17,309192.0,2412,1052.0,0.3228840656,US,Medicare Part D
Ulticare Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",Overall,100563.08,304427.0,2326,969.0,0.3303356141,US,Medicare Part D
Ulticare Pen Needle,"Pen Needle, Diabetic",Overall,22648016.01,43217237.333,330922,122167.0,0.524071921,US,Medicare Part D
Ulticare Safety Pen Needle,"Pen Needle, Diabetic, Safety",Overall,282305.31,336494.0,3185,944.0,0.8388213376,US,Medicare Part D
Ultiguard Safepack-Insulin Syr,"Syr,Ndl,Insulin,1ml-Sharps Bin",Overall,1184.97,2600.0,21,12.0,0.4592178571,US,Medicare Part D
Ultiguard Safepack-Insulin Syr,"Syr-Nd,Ins,0.5/Container,Empty",Overall,1383.51,3000.0,27,13.0,0.4613903292,US,Medicare Part D
Ultiguard Safepack-Pen Needle,"Pen Needle, Diabetic,Disp Unit",Overall,164539.98,350950.0,2641,1051.0,0.4704366551,US,Medicare Part D
Ultilet Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,528.07,2160.0,24,,0.2456291667,US,Medicare Part D
Ultilet Pen Needle,"Pen Needle, Diabetic",Overall,798.73,2300.0,23,,0.347273913,US,Medicare Part D
Ultomiris,Ravulizumab-Cwvz,Overall,159533069.94,71835.0,2503,493.0,2218.0268442,US,Medicare Part D
Ultra Comfort,"Syrge-Ndl,Ins 0.3 Ml Half Mark",Overall,129.64,805.0,11,,0.1622361146,US,Medicare Part D
Ultra Comfort,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,517.61,2206.0,45,27.0,0.2346126104,US,Medicare Part D
Ultra Comfort,"Syringe And Needle,Insulin,1ml",Overall,17876.44,82063.0,1307,429.0,0.2198976903,US,Medicare Part D
Ultra Comfort,"Syringe-Needle,Insulin,0.5 Ml",Overall,4831.23,25474.0,304,138.0,0.1876527405,US,Medicare Part D
Ultra Flo Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,921.26,3230.0,25,15.0,0.2853308139,US,Medicare Part D
Ultra Flo Pen Needle,"Pen Needle, Diabetic",Overall,140692.55,463954.0,3587,1417.0,0.3032876447,US,Medicare Part D
Ultra Thin,"Pen Needle, Diabetic",Overall,13902.74,128090.0,830,303.0,0.1085388399,US,Medicare Part D
Ultra-Fine Micro Pen Needle,"Pen Needle, Diabetic",Overall,14250146.61,23760914.556,158732,68927.0,0.5997305607,US,Medicare Part D
Ultra-Fine Mini Pen Needle,"Pen Needle, Diabetic",Overall,64976909.11,122069040.0,791425,308396.0,0.5322963883,US,Medicare Part D
Ultra-Fine Nano Pen Needle,"Pen Needle, Diabetic",Overall,37480567.36,73487832.546,477905,212572.0,0.5100230176,US,Medicare Part D
Ultra-Fine Original Pen Needle,"Pen Needle, Diabetic",Overall,6995610.62,12811118.909,83610,33661.0,0.5460577386,US,Medicare Part D
Ultra-Fine Short Pen Needle,"Pen Needle, Diabetic",Overall,60878684.9,115104728.46,735297,287005.0,0.5288982105,US,Medicare Part D
Ultra-Thin II,"Pen Needle, Diabetic",Overall,18666.69,86113.0,681,406.0,0.2168634742,US,Medicare Part D
Ultra-Thin II,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,2821.48,17218.0,151,66.0,0.1638908737,US,Medicare Part D
Ultra-Thin II,"Syringe And Needle,Insulin,1ml",Overall,15810.79,74369.0,809,317.0,0.2138047519,US,Medicare Part D
Ultra-Thin II,"Syringe-Needle,Insulin,0.5 Ml",Overall,8237.28,49984.0,435,166.0,0.1687465857,US,Medicare Part D
